bkh_no,square_ft,resale,longitude,latitude,price,Dealer,Owner
2,1300.236407,1,12.96991,77.59796,15.520258832020865,0,1
2,1275.0,1,12.274538,76.644605,15.444751293772967,1,0
2,933.1597222,1,12.778033,77.632191,15.274125813221904,0,1
2,929.9211427,1,28.6423,77.3445,15.648092181712572,0,1
2,999.009247,1,22.5922,88.484911,15.615568995296266,1,0
3,1250.0,1,10.03328,76.28257099999999,15.250595321348806,0,1
3,1495.053957,1,26.916347,75.7956,15.710127563007966,1,0
3,1181.012946,1,30.74,76.65,15.46416937585933,0,1
2,1040.0,1,13.054202,77.674002,15.241025872622032,1,0
2,879.1208791000001,1,12.95161,80.14097,15.096444681204078,0,1
3,1350.308642,1,26.724219,88.326357,15.068273812173887,0,1
2,1333.010179,1,13.04034,77.591347,16.213405921671733,1,0
2,927.1779023,1,12.96991,77.59796,15.38412668421143,0,1
2,1122.1719460000002,1,28.587711,77.403123,15.64006001130563,0,1
1,649.9837504,1,13.0352,77.5772,14.508658238524095,0,1
3,1394.117647,1,28.429614,77.481711,15.777012801779424,1,0
3,1800.08471,1,20.275267000000003,85.86240699999999,15.955576839107596,0,1
3,2124.896706,1,12.8855,77.5638,16.705882371415992,1,0
3,2178.649237,1,13.092356,77.61346800000001,16.300417291085605,1,0
2,881.1435285,1,13.05,80.11,15.319588176962746,0,1
2,944.8818898,1,18.452663,73.93104,15.250595321348806,1,0
3,1310.147689,1,28.5041,77.381557,15.520258832020865,1,0
2,1219.80971,1,21.105779,79.078497,15.424948670398354,1,0
2,780.141844,1,22.54111,88.33778000000001,14.827111833279051,0,1
3,1600.0,1,28.63601,77.433724,15.341567078850604,0,1
2,1000.0,1,24.48,86.7,15.176487367510099,0,1
3,1400.107701,1,28.40473,77.367514,15.46416937585933,1,0
2,943.1266076,1,28.5041,77.381557,15.009433329466965,1,0
2,1150.146382,1,26.586306,74.873234,15.520258832020865,0,1
1,864.0674393999999,1,19.18,72.96333,15.919644834185693,1,0
2,857.7861968000001,0,19.1759,72.9522,16.993564429978885,1,0
3,1174.210077,1,12.852171,80.216826,15.520258832020865,0,1
2,1020.087884,1,18.5993,73.7625,15.687312888712007,1,0
4,1650.165017,1,22.312063,72.674296,15.687312888712007,0,1
2,1000.0,1,17.815234,83.35818,15.068273812173887,1,0
3,1300.052002,1,12.894088,77.548914,15.830413711839864,0,1
2,1058.114928,1,18.539812,73.737678,15.687312888712007,1,0
3,1274.924779,1,22.803593,83.755013,17.034386422832473,1,0
2,1026.694045,1,19.014858,72.8662,16.906553056777135,1,0
2,1150.121065,1,20.366670000000003,72.9,15.150511887854474,0,1
3,1200.0,1,28.460928000000003,77.03939100000001,15.607270193858982,0,1
2,1228.571429,1,12.843852,74.845271,15.456447331256177,1,0
2,986.0164934,1,13.077175,80.151453,15.520258832020865,0,1
3,1972.565158,1,28.431862,77.351104,15.788201868779279,1,0
3,1275.009808,1,25.232239,71.392013,14.99416586199818,0,1
3,1862.562189,1,28.431862,77.351104,15.605602137036527,1,0
2,950.0146156,1,19.88879,75.34344,15.687312888712007,0,1
4,5200.945626,1,28.567633,77.383124,16.213405921671733,0,1
2,1049.969344,1,12.985039,77.54383,15.739759356223798,1,0
3,1615.008157,1,22.589694,88.372957,16.108045416114916,1,0
3,1150.0069,1,19.014858,72.8662,17.034386422832473,1,0
2,1100.0,1,26.955346,75.73479300000001,14.827111833279051,0,1
2,906.2661833,0,24.69028,78.41889,15.76142084987672,1,0
3,1454.333915,1,10.77,76.38,15.424948670398354,0,1
3,1591.994542,1,28.506454,77.40956800000001,15.76142084987672,0,1
2,573.8769151,1,28.406388,77.342588,14.60850352598252,1,0
3,1038.883942,1,19.12,72.91,17.147715103853763,1,0
3,1538.141758,1,13.11389,77.59833,15.816990693309524,0,1
3,1602.084012,1,28.368269,77.37273,15.408819291720503,1,0
2,1200.0,1,16.51667,80.61667,15.319588176962746,0,1
2,760.0709400000001,1,15.86667,74.5,15.607270193858982,0,1
2,739.8273736000001,1,23.25,77.41667,14.914123179965662,0,1
2,1260.02291,1,13.0915,74.7844,15.009433329466965,0,1
2,1100.151745,1,21.093676,79.111965,14.88022163978423,0,1
3,2293.077091,1,18.5438,73.9438,16.860033043306743,1,0
2,1146.480331,1,19.216097,72.821721,15.997057435448074,1,0
4,2224.059764,1,19.1615,72.8731,18.17221939747438,1,0
2,759.8784195000001,1,22.452032,88.298947,14.914123179965662,1,0
4,2260.251857,1,12.9506,77.5952,16.454567959008102,0,1
3,767.0182167,1,20.742166,80.104602,16.993564429978885,1,0
4,2500.0,1,28.66667,77.41667,16.588099342704055,0,1
4,2286.236854,1,21.0,77.0,16.118095750958314,1,0
2,1150.086256,1,28.577673,77.389781,15.607270193858982,0,1
2,1004.932182,1,18.966114,73.148278,15.913528607916424,1,0
2,800.0,1,22.56972,88.36972,15.039286283703994,0,1
3,993.75,1,26.706157,88.439748,14.97239206922172,1,0
2,1298.139334,1,23.169982,77.477889,14.914123179965662,1,0
2,996.797438,1,26.900926,75.775927,14.727793670047236,1,0
2,985.0194952,1,12.98556,77.66389000000001,15.38412668421143,0,1
3,1118.75,1,12.91716,80.19287,15.49633865270477,1,0
2,889.8305085000001,1,28.506454,77.40956800000001,15.250595321348806,1,0
3,2738.22563,1,12.863421,77.652405,16.52356082573315,0,1
4,1725.4901960000002,0,19.049513,72.91920400000001,17.599700214609808,1,0
3,2488.004265,1,30.654128000000004,76.732427,16.454567959008102,1,0
3,1200.082764,1,23.207157,88.404471,15.573368647930426,1,0
2,1584.283904,1,26.459137,79.506922,16.118095750958314,1,0
2,1193.440032,1,18.441256,74.647361,15.613914735473898,1,0
2,1487.357462,1,26.8626,75.7633,14.914123179965662,0,1
2,989.9029895,1,28.5035,77.426447,15.424948670398354,0,1
2,1155.020213,1,19.147866,72.932609,16.454567959008102,1,0
2,949.893137,1,11.93,79.83,15.894952224644102,0,1
2,875.0,1,28.560719,77.386208,15.404745967162468,0,1
2,853.3611982000001,1,12.96991,77.59796,14.711598990684092,1,0
2,800.0,1,19.18,72.96333,16.066802461833923,1,0
2,802.0415602999999,1,28.66667,77.41667,14.603968372873895,0,1
2,610.0660905,1,13.069866,80.19842299999999,15.38412668421143,1,0
3,1680.107527,1,28.861993,78.756315,15.830413711839864,0,1
2,1150.136038,1,19.980678,79.297436,16.04552506565036,0,1
3,1550.114497,1,28.576117,77.382136,15.990262393084793,0,1
5,1699.834163,1,28.6711,77.3683,15.919644834185693,0,1
3,1600.170685,1,9.952439,76.36329649999999,15.830413711839864,0,1
1,600.0566091,1,18.75,73.08,14.566927118346197,0,1
2,1429.200617,1,30.661104,76.746082,15.685773242763466,1,0
2,1115.1379980000002,1,13.008071,77.65129499999999,15.894952224644102,0,1
4,2750.929368,1,27.216013,77.950834,15.816990693309524,1,0
3,1811.196487,1,23.35556,85.33471999999999,16.108045416114916,0,1
2,1045.036079,1,22.43917,88.39583,15.250595321348806,0,1
3,3433.996566,1,28.403138,77.070052,17.341871111992198,1,0
3,1298.219585,1,12.840956,77.659441,15.76142084987672,0,1
2,1109.165207,1,13.278237,74.747328,15.150511887854474,0,1
2,1041.195111,1,28.59632,77.38143000000001,15.341567078850604,1,0
3,2135.748916,1,28.394375,77.35722700000001,15.940164561939964,1,0
3,1850.180505,1,28.579004,77.431173,15.919644834185693,0,1
3,1665.080875,1,23.166495,72.63429000000001,15.76142084987672,1,0
2,1005.025126,1,12.80009,77.71181999999999,15.38412668421143,0,1
4,4900.959771,1,18.5438,73.9438,16.993564429978885,1,0
2,1294.016156,1,19.128324,72.825408,17.312018149733785,1,0
3,1536.806516,1,28.6423,77.3445,16.118095750958314,1,0
2,1123.188406,1,12.9816,77.6729,15.64006001130563,0,1
2,800.1939864,1,26.955346,75.73479300000001,14.316286451937186,1,0
4,2655.807365,1,19.239813,72.962722,17.216707972959764,1,0
3,1513.775356,1,12.905368,77.580403,16.118095750958314,1,0
3,1280.0,1,9.930471,76.271273,15.38412668421143,0,1
4,3429.355281,1,22.312063,72.674296,16.118095750958314,1,0
